product_id,category,product_name,base_price
1001,Одежда,Худи,1221
1002,Одежда,Джинсы,3686
1003,Одежда,Платье,3256
1004,Одежда,Куртка,2479
1005,Одежда,Футболка,2458
1006,Одежда,Свитер,3990
1007,Электроника,Наушники,1155
1008,Электроника,Powerbank,4396
1009,Электроника,Смарт-часы,1767
1010,Электроника,Чехол для телефона,1199
1011,Электроника,Кабель USB-C,3490
1012,Товары для дома,Набор посуды,2936
1013,Товары для дома,Плед,2312
1014,Товары для дома,Органайзер,2378
1015,Товары для дома,Набор полотенец,2265
1016,Товары для дома,Свеча ароматическая,2443
1017,Детские товары,Конструктор,1526
1018,Детские товары,Рюкзак школьный,756
1019,Детские товары,Пенал,2179
1020,Детские товары,Мягкая игрушка,1400
1021,Детские товары,Раскраска,1500
1022,Красота и здоровье,Крем для лица,1518
1023,Красота и здоровье,Набор косметики,925
1024,Красота и здоровье,Парфюм,3269
1025,Красота и здоровье,Массажёр,2811
1026,Красота и здоровье,Витамины,2378
