order_id,order_date,product_id,quantity,price,region,marketplace,status
512719,2024-12-09,1005.0,1,2290.0,Регионы,Wildberries,Доставлен
509444,2024-09-25,1004.0,1,2510.0,Регионы,Ozon,Доставлен
510429,2024-10-24,1007.0,1,1180.0,Новосибирск,Wildberries,Доставлен
500411,2024-01-15,1009.0,1,1930.0,Санкт-Петербург,Wildberries,Доставлен
513408,2024-12-20,1005.0,1,2460.0,Регионы,Wildberries,Доставлен
510615,2024-10-29,1004.0,1,2810.0,Регионы,Wildberries,Доставлен
508133,2024-08-23,1011.0,1,3530.0,Москва,Ozon,Доставлен
511405,2024-11-15,1007.0,1,1210.0,Москва,Wildberries,Доставлен
510652,2024-10-30,1011.0,1,3510.0,Санкт-Петербург,Wildberries,Доставлен
508941,2024-09-12,1014.0,1,2320.0,Москва,Wildberries,Возврат
511725,2024-11-21,1007.0,1,1150.0,Москва,Wildberries,Доставлен
501386,2024-02-15,1014.0,1,2180.0,Екатеринбург,Wildberries,Доставлен
511033,2024-11-07,1026.0,1,2360.0,Москва,Ozon,Доставлен
512395,2024-12-04,1001.0,1,1210.0,Москва,Wildberries,Доставлен
503317,2024-03-31,1009.0,2,1930.0,Регионы,Ozon,Возврат
503832,2024-04-15,1018.0,1,690.0,Москва,Wildberries,Доставлен
503571,2024-04-08,1006.0,1,4340.0,Регионы,Ozon,Возврат
510917,2024-11-05,1009.0,1,1840.0,Санкт-Петербург,Wildberries,Доставлен
509608,2024-09-29,1010.0,1,1080.0,Москва,Ozon,Отменён
500403,2024-01-15,1001.0,1,1320.0,Регионы,Ozon,Доставлен
501290,2024-02-12,1014.0,2,2710.0,Москва,Wildberries,Доставлен
500676,2024-01-24,1019.0,1,2360.0,Регионы,Wildberries,Доставлен
512987,2024-12-13,1006.0,1,3600.0,Новосибирск,Ozon,Доставлен
508841,2024-09-09,1017.0,1,1660.0,Регионы,Wildberries,Возврат
513614,2024-12-23,1019.0,1,2320.0,Москва,Wildberries,Доставлен
513660,2024-12-24,1013.0,2,2190.0,Регионы,Ozon,Доставлен
502763,2024-03-20,1004.0,1,2780.0,Москва,Wildberries,Доставлен
506572,2024-07-10,1016.0,1,2800.0,Москва,Ozon,Доставлен
505662,2024-06-12,1007.0,1,1200.0,Екатеринбург,Ozon,Доставлен
513030,2024-12-14,1001.0,2,1140.0,Екатеринбург,Wildberries,Доставлен
500101,2024-01-04,1006.0,1,3830.0,Санкт-Петербург,Wildberries,Возврат
511414,2024-11-15,1011.0,1,3760.0,Екатеринбург,Wildberries,Возврат
505537,2024-06-08,1008.0,2,5010.0,Санкт-Петербург,Wildberries,Доставлен
504229,2024-04-26,1022.0,1,1580.0,Санкт-Петербург,Wildberries,Доставлен
513372,2024-12-19,1015.0,1,2590.0,Регионы,Ozon,Доставлен
501233,2024-02-11,1004.0,1,2510.0,Москва,Ozon,Доставлен
502247,2024-03-08,1024.0,1,3100.0,Москва,Wildberries,Отменён
502339,2024-03-11,1002.0,1,3360.0,Санкт-Петербург,Ozon,Доставлен
505412,2024-06-04,1002.0,1,3590.0,Екатеринбург,Ozon,Доставлен
511551,2024-11-18,1002.0,1,3430.0,Регионы,Wildberries,Доставлен
501443,2024-02-17,1013.0,1,2490.0,Екатеринбург,Wildberries,Доставлен
500624,2024-01-22,1017.0,1,1730.0,Регионы,Ozon,Доставлен
504865,2024-05-17,1001.0,1,1210.0,Москва,Wildberries,Доставлен
512848,2024-12-11,1004.0,1,2590.0,Регионы,Wildberries,Доставлен
507461,2024-08-06,1006.0,1,4280.0,Екатеринбург,Wildberries,Возврат
505277,2024-05-30,1016.0,1,2780.0,Регионы,Ozon,Доставлен
509650,2024-09-30,1012.0,1,2720.0,Москва,Ozon,Отменён
501230,2024-02-11,1003.0,2,3460.0,Екатеринбург,Ozon,Доставлен
505503,2024-06-06,1020.0,2,1360.0,Регионы,Wildberries,Доставлен
513943,2024-12-29,1002.0,1,3580.0,Регионы,Wildberries,Доставлен
513670,2024-12-24,1017.0,1,1680.0,Регионы,Wildberries,Отменён
501244,2024-02-11,1009.0,1,1880.0,Новосибирск,Ozon,Доставлен
513632,2024-12-23,1026.0,1,2270.0,Москва,Ozon,Доставлен
507287,2024-08-01,1020.0,1,1320.0,Москва,Wildberries,Отменён
502342,2024-03-11,1003.0,1,3480.0,Новосибирск,Ozon,Доставлен
501804,2024-02-28,1012.0,1,3100.0,Москва,Wildberries,Возврат
510907,2024-11-05,1002.0,3,4180.0,Екатеринбург,Wildberries,Возврат
501016,2024-02-04,1017.0,1,1390.0,Москва,Wildberries,Доставлен
509464,2024-09-25,1021.0,1,1710.0,Регионы,Ozon,Доставлен
509295,2024-09-21,1019.0,1,2220.0,Москва,Ozon,Доставлен
514025,2024-12-30,1010.0,1,1160.0,Москва,Wildberries,Доставлен
509154,2024-09-17,1026.0,1,2380.0,Регионы,Wildberries,Доставлен
512250,2024-12-01,1015.0,3,2050.0,Москва,Wildberries,Доставлен
507665,2024-08-11,1014.0,1,2690.0,Регионы,Ozon,Возврат
507796,2024-08-14,1017.0,1,1600.0,Регионы,Ozon,Доставлен
503641,2024-04-10,1013.0,2,2340.0,Новосибирск,Wildberries,Возврат
508309,2024-08-27,1013.0,1,2100.0,Москва,Wildberries,Доставлен
508225,2024-08-25,1017.0,1,1660.0,Санкт-Петербург,Wildberries,Возврат
502229,2024-03-08,1015.0,1,2360.0,Регионы,Wildberries,Доставлен
509385,2024-09-23,1022.0,1,1690.0,Регионы,Wildberries,Доставлен
505324,2024-06-01,1006.0,3,4040.0,Москва,Wildberries,Доставлен
508059,2024-08-21,1017.0,1,1680.0,Москва,Wildberries,Доставлен
511361,2024-11-14,1007.0,2,1050.0,Регионы,Ozon,Доставлен
509518,2024-09-27,1004.0,1,2430.0,Регионы,Wildberries,Доставлен
500070,2024-01-03,1012.0,1,3050.0,Санкт-Петербург,Ozon,Доставлен
500998,2024-02-04,1010.0,1,1100.0,Москва,Wildberries,Доставлен
507169,2024-07-29,1008.0,1,4020.0,Новосибирск,Ozon,Доставлен
512670,2024-12-08,1010.0,1,1300.0,Санкт-Петербург,Ozon,Доставлен
511567,2024-11-18,1012.0,1,3170.0,Санкт-Петербург,Wildberries,Доставлен
509355,2024-09-23,1004.0,1,2790.0,Санкт-Петербург,Wildberries,Доставлен
514114,2024-12-31,1021.0,2,1520.0,Регионы,Wildberries,Доставлен
514107,2024-12-31,1019.0,1,2000.0,Санкт-Петербург,Wildberries,Доставлен
513553,2024-12-22,1016.0,1,2290.0,Екатеринбург,Ozon,Доставлен
500734,2024-01-26,1025.0,2,2730.0,Санкт-Петербург,Ozon,Доставлен
513323,2024-12-18,1013.0,1,2420.0,Регионы,Wildberries,Доставлен
508851,2024-09-10,1002.0,1,3570.0,Регионы,Wildberries,Доставлен
508595,2024-09-04,1001.0,1,1380.0,Регионы,Wildberries,Доставлен
506263,2024-06-30,1018.0,1,760.0,Новосибирск,Ozon,Возврат
501699,2024-02-25,1004.0,1,2670.0,Регионы,Ozon,Доставлен
509842,2024-10-06,1005.0,1,2370.0,Новосибирск,Wildberries,Доставлен
511261,2024-11-12,1015.0,1,2210.0,Регионы,Ozon,Возврат
502910,2024-03-23,1008.0,1,4120.0,Регионы,Wildberries,Доставлен
506837,2024-07-18,1017.0,1,1500.0,Новосибирск,Wildberries,Доставлен
511326,2024-11-13,1017.0,1,1430.0,Москва,Wildberries,Доставлен
503636,2024-04-10,1008.0,1,4110.0,Москва,Ozon,Доставлен
512141,2024-11-29,1015.0,1,2170.0,Москва,Wildberries,Доставлен
501110,2024-02-07,1015.0,1,2070.0,Санкт-Петербург,Wildberries,Доставлен
506986,2024-07-23,1018.0,1,780.0,Регионы,Wildberries,Отменён
504870,2024-05-17,1005.0,1,2540.0,Новосибирск,Wildberries,Доставлен
502455,2024-03-13,1010.0,1,1280.0,Москва,Ozon,Доставлен
510241,2024-10-18,1015.0,1,2170.0,Новосибирск,Ozon,Доставлен
